DATAFLOW,LAST UPDATE,freq,unit,sex,isced11,citizen,age,geo,TIME_PERIOD,Value,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2004,"23,2",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2005,"22,6",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2006,"23,5",b,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2007,"23,7",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2008,23,,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2009,"22,3",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2010,"21,7",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2011,"21,6",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2012,"20,8",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2013,"20,5",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2014,"18,7",b,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2015,18,,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2016,"17,7",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2017,"17,2",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2018,"16,7",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2019,"16,5",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2020,"16,4",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2021,"16,2",b,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2022,"16,3",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Reporting country,From 15 to 64 years,Austria,2023,"16,1",,
