DATAFLOW,LAST UPDATE,freq,unit,sex,isced11,citizen,age,geo,TIME_PERIOD,Value,OBS_FLAG,CONF_STATUS
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2006,"50,7",b,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2007,"51,8",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2008,50,,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2009,"49,8",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2010,"48,3",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2011,48,,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2012,"47,9",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2013,"46,6",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2014,"43,6",b,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2015,"42,1",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2016,"41,6",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2017,"42,1",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2018,"42,2",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2019,"43,4",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2020,"43,4",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2021,"40,6",b,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2022,"38,9",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Austria,2023,"38,7",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bosnia and Herzegovina,2021,"32,2",u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bosnia and Herzegovina,2022,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bosnia and Herzegovina,2023,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2006,"51,2",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2007,51,,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2008,"50,1",b,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2009,"47,7",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2010,"47,2",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2011,"49,2",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2012,"49,4",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2013,"48,4",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2014,"49,3",b,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2015,"47,2",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2016,"46,9",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2017,"45,3",b,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2018,"45,7",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2019,"45,7",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2020,"44,1",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2021,44,b,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2022,"42,4",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Belgium,2023,"42,5",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2006,,bu,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2007,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2008,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2009,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2010,,bu,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2011,,bu,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2012,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2013,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2014,,bu,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2015,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2016,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2017,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2018,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2019,,bu,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2020,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2021,,bu,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2022,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Bulgaria,2023,,u,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Switzerland,2006,"43,5",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Switzerland,2007,"42,5",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Switzerland,2008,"40,5",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Switzerland,2009,"41,4",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Switzerland,2010,"43,2",b,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Switzerland,2011,"42,8",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Switzerland,2012,"42,2",,
ESTAT:EDAT_LFS_9911(1.0),12/12/24 23:00:00,Annual,Percentage,Total,"Less than primary, primary and lower secondary education (levels 0-2)",Non-EU27 countries (from 2020) nor reporting country,From 15 to 64 years,Switzerland,2013,"40,8",,
