DATAFLOW,LAST UPDATE,freq,leg_stat,citizen,unit,geo,TIME_PERIOD,Value,OBS_FLAG,CONF_STATUS
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Albania,2015,"11,26",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Albania,2016,"16,9",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Albania,2017,"18,36",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Albania,2018,"21,43",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Albania,2019,"21,52",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Albania,2020,"21,29",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Albania,2021,"23,08",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Albania,2022,"21,08",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2008,"786,18",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2009,"837,32",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2010,"828,44",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2011,"916,57",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2012,"961,86",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2013,"1010,14",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2014,"1053,19",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2015,"1082,1",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2016,"1213,16",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2017,"1206,13",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2018,"1306,44",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2019,"1377,92",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2020,"1226,38",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2021,"1165,05",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Austria,2022,"1432,18",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Bosnia and Herzegovina,2010,"94,72",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Belgium,2008,"594,34",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Belgium,2009,"619,32",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Belgium,2010,"608,8",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Belgium,2011,"642,89",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Belgium,2012,"647,16",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Belgium,2013,"648,58",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Belgium,2014,"649,78",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Belgium,2015,"528,15",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Belgium,2016,"578,12",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Belgium,2017,"606,94",,
ESTAT:CRIM_JUST_CTZ(1.0),16/07/24 23:00:00,Annual,Suspected person,Foreign country,Per hundred thousand inhabitants,Belgium,2018,"627,51",,
